Диагноз
Наследственная тромбоцитопения
Тромбоцитопатия. Синдром Бернара Сулье.
тромбоцитопения неуточненная
ОЛЛ,  В2, ранний комбинированный (костно-мозговой, нейрорецидив, солидный компонент в левой орбите) рецидив, СПО под ?
аутоимунная гемолитическая анемия, криз
Наследственная гемолитическая анемия неуточненная
хроническая идиопатическая нейтропения
Злокачественное новообразование переднего средостения (Новообразование переднего средостения)
Двухростковая цитопения неясной этиологии
Первичный иммунодефицит неуточненный
Злокачественное новообразование коротких костей нижней конечности
В-ОЛЛ, В2, инициально
ОМЛ, switch
Т-ОЛЛ, Т3, инициально
ОМЛ, М1, инициально
В-ОЛЛ, В4, инициально
ХМПЗ (Истинная полицитемия, мутация гена JAK2V617F)
ОМЛ, рецидив
ХМПЗ (Эритроцитоз неуточненный)
ХМЛ
